facility_id,name,address,type,bed_count,accreditation_status,accreditation_body,cms_provider_number,certification_date
FAC-0001,HEALTH ALLIANCE - CLINTON HOSPITAL,"60 HOSPITAL ROAD, LEOMINSTER, MA 01453",Short-Term Acute Care,150,Active,Unknown,220001,19930414
FAC-0002,MOUNT AUBURN HOSPITAL,"330 MOUNT AUBURN STREET, CAMBRIDGE, MA 02138",Short-Term Acute Care,217,Active,Unknown,220002,20020724
FAC-0003,STURDY MEMORIAL HOSPITAL,"211 PARK STREET, ATTLEBORO, MA 02703",Short-Term Acute Care,126,Active,Unknown,220008,19930826
FAC-0004,MERRIMACK HEALTH LAWRENCE HOSPITAL,"ONE GENERAL STREET, LAWRENCE, MA 01841",Short-Term Acute Care,189,Active,Unknown,220010,20170123
FAC-0005,CAMBRIDGE HEALTH ALLIANCE,"1493 CAMBRIDGE STREET, CAMBRIDGE, MA 02138",Short-Term Acute Care,159,Active,Unknown,220011,19930826
FAC-0006,CAPE COD HOSPITAL,"27 PARK STREET, HYANNIS, MA 02601",Short-Term Acute Care,259,Active,Unknown,220012,20131217
FAC-0007,"COOLEY DICKINSON HOSPITAL INC,THE","30 LOCUST STREET, NORTHAMPTON, MA 01060",Short-Term Acute Care,142,Active,Unknown,220015,20091001
FAC-0008,BAYSTATE FRANKLIN MEDICAL CENTER,"164 HIGH STREET, GREENFIELD, MA 01301",Short-Term Acute Care,92,Active,Unknown,220016,20080508
FAC-0009,UMASS MEMORIAL HEALH - HARRINGTON HOSPITAL,"100 SOUTH STREET, SOUTHBRIDGE, MA 01550",Short-Term Acute Care,113,Active,Unknown,220019,19930823
FAC-0010,VA HOSP,"200 SPRINGS ROAD, BEDFORD, MA 01730",Hospital,993,Active,Unknown,22001F,19910301
FAC-0011,BROWN UNIVERSITY HEALTH SAINT ANNE'S HOSPITAL,"795 MIDDLE STREET, FALL RIVER, MA 02721",Short-Term Acute Care,160,Active,Unknown,220020,20100211
FAC-0012,HOLYOKE MEDICAL CENTER,"575 BEECH STREET, HOLYOKE, MA 01040",Short-Term Acute Care,164,Active,Unknown,220024,19930830
FAC-0013,ANNA JAQUES HOSPITAL,"25 HIGHLAND AVENUE, NEWBURYPORT, MA 01950",Short-Term Acute Care,123,Active,Unknown,220029,20190730
FAC-0014,U S PUB HLTH SERV HOSP,"77 WARREN ST, BOSTON, MA 02135",Hospital,211,Active,Unknown,22002F,19910301
FAC-0015,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,"40 WRIGHT STREET, PALMER, MA 01069",Short-Term Acute Care,41,Active,Unknown,220030,19930831
FAC-0016,BOSTON MEDICAL CENTER CORPORATION-,"1 BOSTON MEDICAL CENTER PLACE, BOSTON, MA 02118",Short-Term Acute Care,441,Active,Unknown,220031,20190328
FAC-0017,BEVERLY HOSPITAL CORPORATION,"85 HERRICK STREET, BEVERLY, MA 01915",Short-Term Acute Care,283,Active,Unknown,220033,20020925
FAC-0018,NORTH SHORE MEDICAL CENTER -,"81 HIGHLAND AVENUE, SALEM, MA 01970",Short-Term Acute Care,415,Active,Unknown,220035,19940505
FAC-0019,BOSTON MEDICAL CENTER-BRIGHTON,"736 CAMBRIDGE STREET, NEVINS BUILDING, BRIGHTON, MA 02135",Short-Term Acute Care,252,Active,Unknown,220036,20120628
FAC-0020,VA HOSP,"1400 VFW PARKWAY, BOSTON, MA 02132",Hospital,920,Active,Unknown,22003F,19910301
FAC-0021,BERKSHIRE MEDICAL CENTER INC - 1,"725 NORTH STREET, PITTSFIELD, MA 01201",Short-Term Acute Care,319,Active,Unknown,220046,20010816
FAC-0022,MARLBOROUGH HOSPITAL,"157 UNION STREET, MARLBOROUGH, MA 01752",Short-Term Acute Care,79,Active,Unknown,220049,20120823
FAC-0023,VA HOSP,"BELMONT STREET, BROCKTON, MA 02301",Hospital,988,Active,Unknown,22004F,19910301
