role_id,title,onet_soc_code,description,department
ROLE-PA,Physician Assistants,29-1071.00,"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",General Medicine
ROLE-RT,Respiratory Therapists,29-1126.00,"Assess, treat, and care for patients with breathing disorders. Assume primary responsibility for all respiratory care modalities, including the supervision of respiratory therapy technicians. Initiate and conduct therapeutic procedures; maintain patient records; and select, assemble, check, and operate equipment.",ICU
ROLE-RN,Registered Nurses,29-1141.00,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required.",Nursing
ROLE-MD-EM,Anesthesiologists,29-1211.00,"Administer anesthetics and analgesics for pain management prior to, during, or after surgery.",Emergency
ROLE-MLT,Medical and Clinical Laboratory Technicians,29-2012.00,"Perform routine medical laboratory tests for the diagnosis, treatment, and prevention of disease. May work under the supervision of a medical technologist.",Lab
ROLE-RAD,Radiologic Technologists and Technicians,29-2034.00,Take x-rays and CAT scans or administer nonradioactive materials into patient's bloodstream for diagnostic or research purposes. Includes radiologic technologists and technicians who specialize in other scanning modalities.,Radiology
ROLE-PHARM,Pharmacy Technicians,29-2052.00,"Prepare medications under the direction of a pharmacist. May measure, mix, count out, label, and record amounts and dosages of medications according to prescription orders.",Pharmacy
ROLE-ST,Surgical Technologists,29-2055.00,"Assist in operations, under the supervision of surgeons, registered nurses, or other surgical personnel. May help set up operating room, prepare and transport patients for surgery, adjust lights and equipment, pass instruments and other supplies to surgeons and surgeons' assistants, hold retractors, cut sutures, and help count sponges, needles, supplies, and instruments.",Surgery
ROLE-LPN,Licensed Practical and Licensed Vocational Nurses,29-2061.00,"Care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions. May work under the supervision of a registered nurse. Licensing required.",Nursing
ROLE-NA,Nursing Assistants,31-1131.00,"Provide or assist with basic care or support under the direction of onsite licensed nursing staff. Perform duties such as monitoring of health status, feeding, bathing, dressing, grooming, toileting, or ambulation of patients in a health or nursing facility. May include medication administration and other health-related tasks. Includes nursing care attendants, nursing aides, and nursing attendants.",General Medicine
